location_id,location_friendlyname,lat,lon
90001,Candidate 1,45.66206189,16.52768612
90002,Candidate 2,45.66096713,16.5263772
90003,Candidate 3,45.65750276,16.53021812
90004,Candidate 4,45.65205831,16.53487444
90005,Candidate 5,45.64748336,16.53772831
90006,Candidate 6,45.64281803,16.53800726
90007,Candidate 7,45.63819732,16.54294252
90008,Candidate 8,45.63626191,16.54534578
90009,Candidate 9,45.62868466,16.55467987
90010,Candidate 10,45.47734581,16.40739441
90011,Candidate 11,45.48095672,16.4272213
90012,Candidate 12,45.45001578,16.39838219
90013,Candidate 13,45.43935708,16.35229111
90014,Candidate 14,45.79562627,15.99506378
90015,Candidate 15,45.80131105,16.00180149
90016,Candidate 16,45.80071268,15.98721027
90017,Candidate 17,45.80917903,15.98854065
90018,Candidate 18,45.81552046,16.00999832
90019,Candidate 19,45.8215322,16.02471828
90020,Candidate 20,45.80630719,16.0378933
90021,Candidate 21,45.80098195,16.05475903
90022,Candidate 22,45.79870809,16.04046822
90023,Candidate 23,45.79721208,16.02570534
90024,Candidate 24,45.80606787,16.10527039
90025,Candidate 25,45.79439947,16.15702629
90026,Candidate 26,45.81755436,16.17110252
90027,Candidate 27,45.82688539,16.30508423
90028,Candidate 28,45.342373,14.50306892
90029,Candidate 29,45.35142143,14.49285507
90030,Candidate 30,45.32312519,14.51937675
90031,Candidate 31,45.31274434,14.52838898
90032,Candidate 32,45.322401,14.45886612
90033,Candidate 33,45.31654685,14.46899414
90034,Candidate 34,45.30978666,14.48710442
90035,Candidate 35,45.30417268,14.50057983
90036,Candidate 36,45.34478606,14.46556091
90037,Candidate 37,45.34780223,14.38316345
90038,Candidate 38,45.35890038,14.34299469
90039,Candidate 39,45.38374269,14.31415558
90040,Candidate 40,45.32366832,14.29698944
90041,Candidate 41,45.24316779,14.25819397
90042,Candidate 42,45.23047538,14.25201416
90043,Candidate 43,45.21898932,14.24823761
90044,Candidate 44,45.20284446,14.24162865
90045,Candidate 45,45.18494068,14.23974037
90046,Candidate 46,45.17822531,14.23295975
90047,Candidate 47,44.94329593,13.93564224
90048,Candidate 48,44.85696399,13.87877941
90049,Candidate 49,44.85386092,13.89032364
90050,Candidate 50,44.84738045,13.90770435
90051,Candidate 51,44.83724755,13.87444496
90052,Candidate 52,45.34143791,14.50435638
90053,Candidate 53,45.326927,14.48088169
90054,Candidate 54,46.02158179,15.89678764
90055,Candidate 55,46.0166944,15.88202477
90056,Candidate 56,46.03391756,15.92150688
90057,Candidate 57,46.07489783,16.08226776
90058,Candidate 58,46.03916092,16.08467102
90059,Candidate 59,46.19908201,16.00708008
90060,Candidate 60,46.15272414,15.96313477
90061,Candidate 61,46.11679966,15.91403961
90062,Candidate 62,46.13202879,15.88314056
90063,Candidate 63,45.92034851,15.82443237
90064,Candidate 64,45.86371571,15.83164215
90065,Candidate 65,45.77374941,15.9534359
90066,Candidate 66,45.76961848,15.99111557
90067,Candidate 67,45.76117606,16.01145744
90068,Candidate 68,45.75524764,16.02707863
90069,Candidate 69,45.70863672,16.08364105
90070,Candidate 70,45.69904611,16.09874725
90071,Candidate 71,45.24800226,17.17815399
90072,Candidate 72,45.23857468,17.20304489
90073,Candidate 73,45.25760953,17.20664978
90074,Candidate 74,45.26208028,17.19291687
90075,Candidate 75,45.25736785,17.40800858
90076,Candidate 76,45.25652199,17.42637634
90077,Candidate 77,45.22618349,17.37865448
90078,Candidate 78,45.2284806,17.42465973
90079,Candidate 79,45.54891893,18.73254776
90080,Candidate 80,45.5417056,18.75623703
90081,Candidate 81,45.5245101,18.7625885
90082,Candidate 82,45.53785811,18.72825623
90083,Candidate 83,45.54002236,18.6999321
90084,Candidate 84,45.54495172,18.66697311
90085,Candidate 85,45.55192421,18.64843369
90086,Candidate 86,45.56370337,18.66388321
90087,Candidate 87,45.55709292,18.66611481
90088,Candidate 88,45.55985739,18.69100571
90089,Candidate 89,45.56790961,18.70731354
90090,Candidate 90,45.55733332,18.63161087
90091,Candidate 91,45.5516838,18.6305809
